Skattemæssigt hjemsted/Tax residence,ISIN-kode/-Code,Navn andelsklasse/Name Shareclass,LEI-kode/-Code,CVR/SE/TIN,Navn afdeling/Name Sub-fund,TIN,Navn/Name,Registrerede år/Registered ,Ikke registrerede år/Deregistered
Denmark (DK),DK0010273796,Investeringsforeningen SEB Invest AKL Balance Vækst P,[tom],35455191,Investeringsforeningen SEB Invest AKL Balance Vækst P,[tom],[tom],"2020,2021,2023,2024,2025,2026",2022
Denmark (DK),DK0016111511,Amalie Invest Global AK,[tom],26214882,INVESTERINGSFORENINGEN AMALIE INVEST,[tom],[tom],"2020,2021,2023,2024,2025,2026",2022
Denmark (DK),DK0060096030,Nordea Invest Stabile Aktier Akkumulerende KL,549300CMSI2E3L60JI77,30170954,Nordea Invest Stabile Aktier Akkumulerende,[tom],[tom],2020.2021,"2022,2023,2024,2025,2026"
Denmark (DK),DK0060502631,Formuepleje LimiTTellus,[tom],39757206,Formuepleje LimiTTellus,[tom],[tom],"2020,2021,2022,2023,2024,2025,2026",
Denmark (DK),DK0060607570,[tom],[tom],34189153,Europe Restricted - Accumulating KL,[tom],[tom],"2021,2022,2023,2024,2025,2026",2020
Denmark (DK),DK0060607737,"Investeringsforeningen Danske Invest Index Global AC Restricted - Akkumulerende, klasse DKK W",549300VULQW9XQJXV415,34188823,Investeringsforeningen Danske Invest Index Global AC Restricted - Accumulating KL,[tom],[tom],"2021,2022,2023,2024,2025,2026",2020
Denmark (DK),DK0060607810,"Investeringsforeningen Danske Invest Index Global AC Restricted, klasse NOK W",549300VULQW9XQJXV415,34188823,Investeringsforeningen Danske Invest Index Global AC Restricted - Accumulating KL,[tom],[tom],"2021,2022,2023,2024,2025,2026",2020
Denmark (DK),DK0060608115,"Investeringsforeningen Danske Invest Index Global Emerging Markets Restricted, klasse NOK W",549300O77ASICB5HU965,34188882,Investeringsforeningen Danske Invest Index Global Emerging Markets Restricted - Accumulating KL,[tom],[tom],"2021,2022,2023,2024,2025,2026",2020
Denmark (DK),DK0060608461,"Investeringsforeningen Danske Invest Index Norway Restricted, klasse NOK W",549300EXWLIHBZRYC249,34188998,Investeringsforeningen Danske Invest Index Norway Restricted - Accumulating KL,[tom],[tom],"2021,2022,2023,2024,2025,2026",2020
Denmark (DK),DK0060608545,"Investeringsforeningen Danske Invest Index Pacific incl. Canada ex. Japan Restricted - Akkumulerende, klasse DKK W",[tom],34189021,Investeringsforeningen Danske Invest Index Pacific incl. Canada ex. Japan Restricted - Accumulating KL,[tom],[tom],"2021,2022,2023,2024,2025,2026",2020
Denmark (DK),DK0060608628,"Investeringsforeningen Danske Invest Index USA Restricted - Akkumulerende, klasse DKK W",549300406IAIIHFSW262,34189099,Investeringsforeningen Danske Invest Index USA Restricted - Accumulating KL,[tom],[tom],"2021,2022,2023,2024,2025,2026",2020
Denmark (DK),DK0060609196,"Investeringsforeningen Danske Invest Index Global AC Restricted, klass SEK W",549300VULQW9XQJXV415,34188823,Investeringsforeningen Danske Invest Index Global AC Restricted - Accumulating KL,[tom],[tom],"2021,2022,2023,2024,2025,2026",2020
Denmark (DK),DK0060609279,"Investeringsforeningen Danske Invest Index Global AC Restricted, osuuslaji EUR W",549300VULQW9XQJXV415,34188823,Investeringsforeningen Danske Invest Index Global AC Restricted - Accumulating KL,[tom],[tom],"2021,2022,2023,2024,2025,2026",2020
Denmark (DK),DK0060609352,"Investeringsforeningen Danske Invest Index Global Emerging Markets Restricted, klass SEK W",549300O77ASICB5HU965,34188882,Investeringsforeningen Danske Invest Index Global Emerging Markets Restricted - Accumulating KL,[tom],[tom],"2021,2022,2023,2024,2025,2026",2020
Denmark (DK),DK0060609436,"Investeringsforeningen Danske Invest Index Global Emerging Markets Restricted, osuuslaji EUR W",549300O77ASICB5HU965,34188882,Investeringsforeningen Danske Invest Index Global Emerging Markets Restricted - Accumulating KL,[tom],[tom],"2021,2022,2023,2024,2025,2026",2020
Denmark (DK),DK0060609519,"Investeringsforeningen Danske Invest Index Japan Restricted, klass SEK W",549300NVBKWH6IS4GK35,34188939,Investeringsforeningen Danske Invest Index Japan Restricted - Accumulating KL,[tom],[tom],"2021,2022,2023,2024,2025,2026",2020
Denmark (DK),DK0060609782,"Investeringsforeningen Danske Invest Index Japan Restricted, osuuslaji EUR W",549300NVBKWH6IS4GK35,34188939,Investeringsforeningen Danske Invest Index Japan Restricted - Accumulating KL,[tom],[tom],"2021,2022,2023,2024,2025,2026",2020
Denmark (DK),DK0060609865,"Investeringsforeningen Danske Invest Index Pacific incl. Canada ex. Japan Restricted, klass SEK W",[tom],34189021,Investeringsforeningen Danske Invest Index Pacific incl. Canada ex. Japan Restricted - Accumulating KL,[tom],[tom],"2021,2022,2023,2024,2025,2026",2020
Denmark (DK),DK0060609949,"Investeringsforeningen Danske Invest Index Pacific incl. Canada ex. Japan Restricted, osuuslaji EUR W",[tom],34189021,Investeringsforeningen Danske Invest Index Pacific incl. Canada ex. Japan Restricted - Accumulating KL,[tom],[tom],"2021,2022,2023,2024,2025,2026",2020
Denmark (DK),DK0060610012,[tom],[tom],34189072,Sweden Restricted - Accumulating KL,[tom],[tom],"2021,2022,2023,2024,2025,2026",2020
Denmark (DK),DK0060610285,"Investeringsforeningen Danske Invest Index USA Restricted, klass SEK W",549300406IAIIHFSW262,34189099,Investeringsforeningen Danske Invest Index USA Restricted - Accumulating KL,[tom],[tom],"2021,2022,2023,2024,2025,2026",2020
Denmark (DK),DK0060610368,"Investeringsforeningen Danske Invest Index USA Restricted, osuuslaji EUR W",549300406IAIIHFSW262,34189099,Investeringsforeningen Danske Invest Index USA Restricted - Accumulating KL,[tom],[tom],"2021,2022,2023,2024,2025,2026",2020
Denmark (DK),DK0060610442,"Investeringsforeningen Danske Invest Index USA Restricted, osuuslaji EUR W h",549300406IAIIHFSW262,34189099,Investeringsforeningen Danske Invest Index USA Restricted - Accumulating KL,[tom],[tom],"2021,2022,2023,2024,2025,2026",2020
Denmark (DK),DK0060610525,"Investeringsforeningen Danske Invest Index USA Restricted, klasse NOK W",549300406IAIIHFSW262,34189099,Investeringsforeningen Danske Invest Index USA Restricted - Accumulating KL,[tom],[tom],"2021,2022,2023,2024,2025,2026",2020
Denmark (DK),DK0060644771,"Investeringsforeningen Danske Invest Index Japan Restricted, klasse NOK W",549300NVBKWH6IS4GK35,34188939,Investeringsforeningen Danske Invest Index Japan Restricted - Accumulating KL,[tom],[tom],"2021,2022,2023,2024,2025,2026",2020
Denmark (DK),DK0060781920,Independent Global Akk,5299004R58HBSLCQE877,12888724,Tiedemann Independent A/S,[tom],[tom],"2020,2021,2022,2023,2024,2025,2026",
Denmark (DK),DK0060782068,Independent Generations Akk,5299004R58HBSLCQE877,12888759,Tiedemann Independent A/S,[tom],[tom],"2020,2021,2022,2023,2024,2025,2026",
Denmark (DK),DK0060850915,Investeringsforeningen SEB Invest Balance Vækst AKL,5493007RZ866PHUSRI16,11883427,Investeringsforeningen SEB Invest Balance Vækst AKL,[tom],[tom],"2020,2021,2023,2024,2025,2026",2022
Denmark (DK),DK0060854313,Falcon Danske Aktier Momentum,549300ELWLNT8T7NVF62,35460764,Falcon Danske Aktier Momentum,[tom],[tom],"2020,2021,2023,2024,2025,2026",2022
Denmark (DK),DK0060854586,Falcon Europe Momentum,549300MQSJQNI1VND998,35460780,Falcon Europe Momentum,[tom],[tom],"2020,2021,2023,2024","2022,2025,2026"
Denmark (DK),DK0060912376,Gudme Raaschou Danske Aktier GR,549300UKGYQCFDXM2354,38735349,Gudme Raaschou Danske Aktier GR,[tom],[tom],"2020,2021,2023,2024,2025,2026",2022
Denmark (DK),DK0060912459,Gudme Raaschou Globale Aktier GR,549300FS6BYV93UZ3B35,38735381,Gudme Raaschou Globale Aktier GR,[tom],[tom],"2020,2021,2023,2024,2025,2026",2022
Denmark (DK),DK0060946192,"Investeringsforeningen Investin, Optimal Livscyklus 2040-50",54930021B6RARRD80009,39025736,"Investeringsforeningen Investin, Optimal Livscyklus 2040-50",[tom],[tom],"2020,2021,2022,2023,2024,2025,2026",
Denmark (DK),DK0060949378,Falcon Global Momentum,5493008XFPQ7KTH5EO47,35460799,Falcon Global Momentum,[tom],[tom],"2020,2021,2023,2024","2022,2025,2026"
Denmark (DK),DK0060955185,"Investeringsforeningen Danske Invest Index Global AC Restricted, klasse NOK",549300VULQW9XQJXV415,34188823,Investeringsforeningen Danske Invest Index Global AC Restricted - Accumulating KL,[tom],[tom],"2021,2022,2023,2024,2025,2026",2020
Denmark (DK),DK0060955268,"Investeringsforeningen Danske Invest Index Global Emerging Markets Restricted, klasse NOK",549300O77ASICB5HU965,34188882,Investeringsforeningen Danske Invest Index Global Emerging Markets Restricted - Accumulating KL,[tom],[tom],"2021,2022,2023,2024,2025,2026",2020
Denmark (DK),DK0060955342,"Investeringsforeningen Danske Invest Index Japan Restricted, klasse NOK",549300NVBKWH6IS4GK35,34188939,Investeringsforeningen Danske Invest Index Japan Restricted - Accumulating KL,[tom],[tom],"2021,2022,2023,2024,2025,2026",2020
Denmark (DK),DK0060955425,"Investeringsforeningen Danske Invest Index Norway Restricted, klasse NOK",549300EXWLIHBZRYC249,34188998,Investeringsforeningen Danske Invest Index Norway Restricted - Accumulating KL,[tom],[tom],"2021,2022,2023,2024,2025,2026",2020
Denmark (DK),DK0060955508,"Investeringsforeningen Danske Invest Index Pacific incl. Canada ex. Japan Restricted, klasse NOK W",[tom],34189021,Investeringsforeningen Danske Invest Index Pacific incl. Canada ex. Japan Restricted - Accumulating KL,[tom],[tom],"2021,2022,2023,2024,2025,2026",2020
Denmark (DK),DK0060955698,"Investeringsforeningen Danske Invest Index USA Restricted, klasse NOK",549300406IAIIHFSW262,34189099,Investeringsforeningen Danske Invest Index USA Restricted - Accumulating KL,[tom],[tom],"2021,2022,2023,2024,2025,2026",2020
Denmark (DK),DK0060991651,Investeringsforeningen Coop Opsparing Modig,549400QCDYJ10ECRXJ32,35460381,Investeringsforeningen Coop Opsparing Modig,[tom],[tom],"2020,2021,2023,2024,2025,2026",2022
Denmark (DK),DK0061068624,Formuepleje Better World Enviromental Leaders,[tom],39620782,Formuepleje Better World Enviromental Leaders,[tom],[tom],"2020,2021,2022,2023,2024,2025,2026",
Denmark (DK),DK0061075678,"PP Capital StockPick, klasse notering",894500FK5C3SJDDPCF81,39795612,[tom],[tom],[tom],"2020,2021,2022,2023,2024,2025,2026",
Denmark (DK),DK0061077104,"Investeringsforeningen Danske Invest Index Japan Restricted - Akkumulerende, klasse DKK W",549300NVBKWH6IS4GK35,34188939,Investeringsforeningen Danske Invest Index Japan Restricted - Accumulating KL,[tom],[tom],"2021,2022,2023,2024,2025,2026",2020
Denmark (DK),DK0061134194,Lån & Spar Invest Danske Aktier Basis Akkumulerende,5493009O53TCYCYBLW27,40236678,Lån & Spar Invest Danske Aktier Basis Akkumulerende,[tom],[tom],"2020,2021,2023,2024,2025,2026",2022
Denmark (DK),DK0061134350,Lån & Spar Invest Globale Aktier Basis Akkumulerende,549300X05X9T610PDN62,40236732,Lån & Spar Invest Globale Aktier Basis Akkumulerende,[tom],[tom],"2020,2021,2023,2024,2025,2026",2022
Denmark (DK),DK0061137619,[tom],8945001FF9QN91QS1E61,40337709,Lundgreens Capital - Kina KL,[tom],[tom],"2020,2021,2022,2023,2024,2025,2026",
Denmark (DK),DK0061146529,Formuepleje Better World Global Opportunities,[tom],40632050,Formuepleje Better World Global Opportunities,[tom],[tom],"2020,2021,2022,2023,2024,2025,2026",
Denmark (DK),DK0061146602,Formuepleje Globale Aktier Akk.,[tom],40632034,Formuepleje Globale Aktier Akk.,[tom],[tom],"2020,2021,2022,2023,2024,2025,2026",
Denmark (DK),DK0061152840,Falcon Brighter Future,5493008FXOCMJKXCON71,40839933,Falcon Brighter Future,[tom],[tom],"2020,2021,2023,2024,2025,2026",2022
Denmark (DK),DK0061269792,"Investeringsforeningen Danske Invest Index Global AC Restricted - Akkumulerende, klasse DKK",549300VULQW9XQJXV415,34188823,Investeringsforeningen Danske Invest Index Global AC Restricted - Accumulating KL,[tom],[tom],"2021,2022,2023,2024,2025,2026",2020
Denmark (DK),DK0061269875,"Investeringsforeningen Danske Invest Index Global Emerging Markets Restricted - Akkumulerende, klasse DKK",549300O77ASICB5HU965,34188882,Investeringsforeningen Danske Invest Index Global Emerging Markets Restricted - Accumulating KL,[tom],[tom],"2021,2022,2023,2024,2025,2026",2020
Denmark (DK),DK0061269958,"Investeringsforeningen Danske Invest Index Japan Restricted - Akkumulerende, klasse DKK",549300NVBKWH6IS4GK35,34188939,Investeringsforeningen Danske Invest Index Japan Restricted - Accumulating KL,[tom],[tom],"2021,2022,2023,2024,2025,2026",2020
Denmark (DK),DK0061270022,"Investeringsforeningen Danske Invest Index Pacific incl. Canada ex. Japan Restricted - Akkumulerende, klasse DKK",[tom],34189021,Investeringsforeningen Danske Invest Index Pacific incl. Canada ex. Japan Restricted - Accumulating KL,[tom],[tom],"2021,2022,2023,2024,2025,2026",2020
Denmark (DK),DK0061270105,"Investeringsforeningen Danske Invest Index USA Restricted - Akkumulerende, klasse DKK",549300406IAIIHFSW262,34189099,Investeringsforeningen Danske Invest Index USA Restricted - Accumulating KL,[tom],[tom],"2021,2022,2023,2024,2025,2026",2020
Denmark (DK),DK0061270451,"Investeringsforeningen Danske Invest Index Global Emerging Markets Restricted, klass SEK",549300O77ASICB5HU965,34188882,Investeringsforeningen Danske Invest Index Global Emerging Markets Restricted - Accumulating KL,[tom],[tom],"2021,2022,2023,2024,2025,2026",2020
Denmark (DK),DK0061270964,"Investeringsforeningen Danske Invest Index USA Restricted, klass SEK",549300406IAIIHFSW262,34189099,Investeringsforeningen Danske Invest Index USA Restricted - Accumulating KL,[tom],[tom],"2021,2022,2023,2024,2025,2026",2020
Denmark (DK),DK0061272077,"Investeringsforeningen Investin, ANNOX Quant Global Equity ESG KL",549300F0GQBBDO60FS90,40928448,"Investeringsforeningen Investin, ANNOX Quant Global Equity ESG KL",[tom],[tom],"2021,2022,2023,2024,2025,2026",2020
Denmark (DK),DK0061281490,Sydinvest Verden Lav Volatilitet Indeks KL,[tom],41284285,Investeringsforeningen Sydinvest,[tom],[tom],"2021,2022,2023,2024,2025,2026",2020
Denmark (DK),DK0061410214,Othania Bæredygtig Makro A/S,[tom],41568267,[tom],[tom],[tom],"2021,2022,2023,2024,2025,2026",2020
Denmark (DK),DK0061538360,"Investeringsforeningen PortfolioManager Hammers Fonde Høj, kl f",894500NLGHJT3XH2SY43,41080418,Investeringsforeningen PortfolioManager Hammers Fonde Høj KL,[tom],[tom],"2021,2022,2023,2024,2025,2026",2020
Denmark (DK),DK0061538527,Optimal - Alternative Investeringer KL,894500ALUTFR4KTJ7Z43,40113428,Alternative Investeringer KL,[tom],[tom],"2020,2021,2022,2023","2024,2025,2026"
Denmark (DK),DK0061538600,"Investeringsforeningen PortfolioManager Optimal - Balance Mix, klasse kontoførende",894500FKAVNK6CPKZZ13,39795329,Investeringsforeningen PortfolioManager Optimal - Balance Mix KL,[tom],Investeringsforeningen PortfolioManager,"2020,2021,2022,2023,2024,2025,2026",
Denmark (DK),DK0061538956,"Investeringsforeningen PortfolioManager Optimal - Globale Aktier, klasse kontoførende",894500AN8PDNVESG3Z95,40113452,Investeringsforeningen PortfolioManager Optimal - Globale Aktier KL,[tom],Investeringsforeningen PortfolioManager,"2020,2021,2022,2023,2024,2025,2026",
Denmark (DK),Udstedt uden,[tom],[tom],35669051,KNIGHTSBRIDGE INVEST A/S,[tom],[tom],2020.2021,"2022,2023,2024,2025,2026"
Denmark (DK),Udstedt uden,[tom],[tom],38270346,Knightsbridge Invest II A/S,[tom],[tom],2020.2021,"2022,2023,2024,2025,2026"
Denmark (DK),Udstedt uden,[tom],[tom],41582685,Thygesen Global Stock Selection KL,[tom],[tom],2021,"2020,2022,2023,2024,2025,2026"
Denmark (DK),Udstedt uden,[tom],[tom],41583770,Thygesen Global Stock Selection kl f,[tom],[tom],2021,"2020,2022,2023,2024,2025,2026"
Denmark (DK),Udstedt uden,[tom],[tom],40113533,"Investeringsforeningen PortfolioManager Optimal - Balance Mix, klasse kontoførende",[tom],[tom],"2020,2021,2022,2023","2024,2025,2026"
Denmark (DK),Udstedt uden,[tom],[tom],40113509,"Investeringsforeningen PortfolioManager Optimal - GlobaleOptimal - Globale Aktier, Klasse kontoførende",[tom],[tom],"2020,2021,2022,2023","2024,2025,2026"
Denmark (DK),Udstedt uden,[tom],[tom],40113479,"Investeringsforeningen PortfolioManager Optimal - Alternative Investeringer, klasse kontoførende",[tom],[tom],"2020,2021,2022,2023,2024",2025.2026
Denmark (DK),Udstedt uden,[tom],[tom],31181828,Jackson FamilieInvest A/S,[tom],[tom],"2020,2021,2024,2025,2026",2022.2023
Denmark (DK),Udstedt uden,[tom],[tom],36044098,Juul Value Invest A/S,[tom],[tom],"2020,2021,2024,2025,2026",2022.2023
Denmark (DK),Udstedt uden,[tom],[tom],40241175,RFDK A/S,[tom],[tom],"2020,2021,2024,2025,2026",2022.2023
Denmark (DK),Udstedt uden,Knightsbridge Secondaries Fund A/S,[tom],40926267,Knightsbridge Secondaries Fund A/S,[tom],[tom],"2021,2022,2023,2024,2025,2026",2020
Denmark (DK),Udstedt uden,[tom],[tom],41427426,Merchant Equity Large Cap X A/S,[tom],[tom],"2021,2022,2023,2024,2025,2026",2020
Finland (FI),FI0008002373,Nordea European Passive Fund I growth,54930043QB0YUUQ4UM32,[tom],Nordea European Passive Fund,[tom],[tom],"2020,2021,2022,2023,2024,2025,2026",
Finland (FI),FI0008002381,Nordea Finnish Passive Fund I growth,549300SX0CEK57SPIE96,[tom],Nordea Finnish Passive Fund,[tom],[tom],"2020,2021,2022,2023,2024,2025,2026",
Finland (FI),FI0008800016,Nordea Finland A growth,549300MI2MQKPNCVIU88,[tom],Nordea Finland Fund,[tom],[tom],"2020,2021,2022,2023,2024,2025,2026",
Finland (FI),FI0008800065,Nordea Nordic Fund A growth,549300UC4ZJ2O8SGHF58,[tom],Nordea Nordic Fund,[tom],[tom],"2020,2021,2022,2023,2024,2025,2026",
Finland (FI),FI0008800362,Nordea Pro Finland I growth,549300IH6530YSK1ED94,[tom],Nordea Pro Finland Fund,[tom],[tom],"2020,2021,2022,2023,2024,2025,2026",
Finland (FI),FI0008800412,Nordea Japan Fund Growth,54930073UQYK5LTRL387,[tom],Nordea Japan Fund,[tom],[tom],"2020,2021,2022,2023,2025,2026",2024
Finland (FI),FI0008800420,Nordea World Fund A growth,5493000JFKWXSJ8BVE93,[tom],Nordea World Fund,[tom],[tom],"2020,2021,2022,2023,2024,2025,2026",
Finland (FI),FI0008800438,Nordea Nordic Small Cap Fund A growth,549300SO1LWCDV9C5D89,[tom],Nordea Nordic Small Cap Fund,[tom],[tom],"2020,2021,2022,2023,2024,2025,2026",
Finland (FI),FI0008800990,Nordea Pro Stable Return I Growth,5493007PR1VQ48I12D46,[tom],Nordea Pro Stable Return Fund,[tom],[tom],2020.2021,"2022,2023,2024,2025,2026"
Finland (FI),FI0008801444,Nordea Finland A distribution,549300MI2MQKPNCVIU88,[tom],Nordea Finland Fund,[tom],[tom],"2020,2021,2022,2023,2024,2025,2026",
Finland (FI),FI0008801485,Nordea Pro Finland I distribution,549300IH6530YSK1ED94,[tom],Nordea Pro Finland Fund,[tom],[tom],"2020,2021,2022,2023,2024,2025,2026",
Finland (FI),FI0008801527,Nordea World Fund A distrib.,5493000JFKWXSJ8BVE93,[tom],Nordea World Fund,[tom],[tom],"2020,2021,2022,2023,2024,2025,2026",
Finland (FI),FI0008801550,Nordea Nordic Fund A distrib.,549300UC4ZJ2O8SGHF58,[tom],Nordea Nordic Fund,[tom],[tom],"2020,2021,2022,2023,2024,2025,2026",
Finland (FI),FI0008801584,Nordea Nordic Small Cap Fund A distrib.,549300SO1LWCDV9C5D89,[tom],Nordea Nordic Small Cap Fund,[tom],[tom],"2020,2021,2022,2023,2024,2025,2026",
Finland (FI),FI0008801659,Nordea Pro Stable Return I distribution,5493007PR1VQ48I12D46,[tom],Nordea Pro Stable Return Fund,[tom],[tom],2020.2021,"2022,2023,2024,2025,2026"
Finland (FI),FI0008801709,Nordea Japan Fund Distrib.,54930073UQYK5LTRL387,[tom],Nordea Japan Fund,[tom],[tom],"2020,2021,2022,2023,2025,2026",2024
Finland (FI),FI0008802194,Nordea Europe Fund A growth,54930070IKWTBTWG2U46,[tom],Nordea Europe Fund,[tom],[tom],"2020,2021,2022,2023,2024,2025,2026",
Finland (FI),FI0008802202,Nordea Europe Fund A distrib.,54930070IKWTBTWG2U46,[tom],Nordea Europe Fund,[tom],[tom],"2020,2021,2022,2023,2024,2025,2026",
Finland (FI),FI0008803499,Nordea Eastern Europe Fund A growth,549300VM4HMDDMQKVE41,[tom],Nordea Eastern Europe Fund,[tom],[tom],"2020,2021,2022,2023","2024,2025,2026"
Finland (FI),FI0008803507,Nordea Eastern Europe fund A distrib.,549300VM4HMDDMQKVE41,[tom],Nordea Eastern Europe Fund,[tom],[tom],"2020,2021,2022,2023","2024,2025,2026"
Finland (FI),FI0008803515,Nordea Far East Fund A distrib.,549300Z6YEQ8TU0FFP49,[tom],Nordea Far East Fund,[tom],[tom],"2020,2021,2022,2023,2024",2025.2026
Finland (FI),FI0008803523,Nordea Far East Fund A growth,549300Z6YEQ8TU0FFP49,[tom],Nordea Far East Fund,[tom],[tom],"2020,2021,2022,2023,2024",2025.2026
Finland (FI),FI0008805585,Nordea North America Fund Growth,549300KP5KVQJDR7WD41,[tom],Nordea North America Fund,[tom],[tom],"2020,2021,2022,2023,2024,2025,2026",
Finland (FI),FI0008805593,Nordea North America Fund Distrib.,549300KP5KVQJDR7WD41,[tom],Nordea North America Fund,[tom],[tom],"2020,2021,2022,2023,2024,2025,2026",
Finland (FI),FI0008808852,Nordea Emerging Market Equities A distribution,549300VPEUBMIBRX1Y59,[tom],Nordea Emerging Market Equities Fund,[tom],[tom],"2020,2021,2022,2023,2024,2025,2026",
Finland (FI),FI0008808860,Nordea Emerging Market Equities A growth,549300VPEUBMIBRX1Y59,[tom],Nordea Emerging Market Equities Fund,[tom],[tom],"2020,2021,2022,2023,2024,2025,2026",
Finland (FI),FI0008809298,Nordea Russia Fund A distrib.,549300JDZ831FK78P830,[tom],Nordea Russia Fund,[tom],[tom],"2020,2021,2022","2023,2024,2025,2026"
Finland (FI),FI0008809306,Nordea Russia Fund A growth,549300JDZ831FK78P830,[tom],Nordea Russia Fund,[tom],[tom],"2020,2021,2022","2023,2024,2025,2026"
Finland (FI),FI0008810486,Nordea Global Frontier Markets Fund A distrib.,549300DK23WMFXK7RI72,[tom],Nordea Global Frontier Markets Fund,[tom],[tom],2020.2021,"2022,2023,2024,2025,2026"
Finland (FI),FI0008810494,Nordea Global Frontier Markets Fund A growth,549300DK23WMFXK7RI72,[tom],Nordea Global Frontier Markets Fund,[tom],[tom],2020.2021,"2022,2023,2024,2025,2026"
Finland (FI),FI0008813191,Nordea Global Frontier Markets Fund A growth SEK,549300DK23WMFXK7RI72,[tom],Nordea Global Frontier Markets Fund,[tom],[tom],2020.2021,"2022,2023,2024,2025,2026"
Finland (FI),FI0008813258,Nordea Eastern Europe Fund A growth NOK,549300VM4HMDDMQKVE41,[tom],Nordea Eastern Europe Fund,[tom],[tom],"2020,2021,2022,2023","2024,2025,2026"
Finland (FI),FI0008813266,Nordea Japan Fund Growth NOK,54930073UQYK5LTRL387,[tom],Nordea Japan Fund,[tom],[tom],"2020,2021,2022,2023,2025,2026",2024
Finland (FI),FI0008813282,Nordea Asian Stars Fund A growth NOK,549300Z6YEQ8TU0FFP49,[tom],Nordea Asian Stars Fund,[tom],[tom],"2020,2021,2022,2023,2024",2025.2026
Finland (FI),FI0008813316,Nordea Emerging Market Equities A growth NOK,549300VPEUBMIBRX1Y59,[tom],Nordea Emerging Market Equities Fund,[tom],[tom],"2020,2021,2022,2023,2024,2025,2026",
Finland (FI),FI0008813324,Nordea Emerging Market Equities A growth SEK,549300VPEUBMIBRX1Y59,[tom],Nordea Emerging Market Equities Fund,[tom],[tom],"2020,2021,2022,2023,2024,2025,2026",
Finland (FI),FI0008813332,Nordea World Fund A growth SEK,5493000JFKWXSJ8BVE93,[tom],Nordea World Fund,[tom],[tom],"2020,2021,2022,2023,2024,2025,2026",
Finland (FI),FI0008813365,Nordea Nordic Small Cap Fund A growth SEK,549300SO1LWCDV9C5D89,[tom],Nordea Nordic Small Cap Fund,[tom],[tom],"2020,2021,2022,2023,2024,2025,2026",
Finland (FI),FI0008813373,Nordea North America Fund Growth NOK,549300KP5KVQJDR7WD41,[tom],Nordea North America Fund,[tom],[tom],"2020,2021,2022,2023,2024,2025,2026",
Finland (FI),FI0008813381,Nordea North America Fund Growth SEK,549300KP5KVQJDR7WD41,[tom],Nordea North America Fund,[tom],[tom],"2020,2021,2022,2023,2024,2025,2026",
